0x7100090e60	op_81_ADD_A_C	F
0x7100090ed0	op_82_ADD_A_D	F
0x7100090f40	op_83_ADD_A_E	F
0x7100090fb0	op_84_ADD_A_H	F
0x7100091020	op_85_ADD_A_L	F
0x7100091090	op_86_ADD_A_mHL	F
0x7100091110	op_87_ADD_A_A	F
0x7100091170	op_88_ADC_A_B	F
0x71000911e0	op_89_ADC_A_C	F
0x7100091250	op_8A_ADC_A_D	F
0x71000912c0	op_8B_ADC_A_E	F
0x7100091330	op_8C_ADC_A_H	F
0x71000913a0	op_8D_ADC_A_L	F
0x7100091410	op_8E_ADC_A_mHL	F
0x7100091480	op_8F_ADC_A_A	F
0x71000914e0	op_90_SUB_B	F
0x7100091540	op_91_SUB_C	F
0x71000915a0	op_92_SUB_D	F
0x7100091600	op_93_SUB_E	F
0x7100091660	op_94_SUB_H	F
0x71000916c0	op_95_SUB_L	F
0x7100091720	op_96_SUB_mHL	F
0x7100091790	op_97_SUB_A	F
0x71000917c0	op_98_SBC_A_B	F
0x71000918c0	op_99_SBC_A_C	F
0x7100091930	op_9A_SBC_A_D	F
0x71000919a0	op_9B_SBC_A_E	F
0x7100091ae0	op_9C_SBC_A_H	F
0x7100091a70	op_9D_SBC_A_L	F
0x7100091b50	op_9E_SBC_A_mHL	F
0x7100091a10	op_9F_SBC_A_A	F
0x7100094490	op_A0_AND_B	F
0x71000943a0	op_A1_AND_C	F
0x71000943f0	op_A2_AND_D	F
0x7100094440	op_A3_AND_E	F
0x71000942b0	op_A4_AND_H	F
0x7100094300	op_A5_AND_L	F
0x7100094350	op_A6_AND_mHL	F
0x71000944e0	op_A7_AND_A	F
0x7100092030	op_A8_XOR_B	F
0x7100092070	op_A9_XOR_C	F
0x71000920b0	op_AA_XOR_D	F
0x71000920f0	op_AB_XOR_E	F
0x7100091fa0	op_AC_XOR_H	F
0x7100091f60	op_AD_XOR_L	F
0x7100091fe0	op_AE_XOR_mHL	F
0x7100091f30	op_AF_XOR_A	F
0x7100093f60	op_B0_OR_B	F
0x7100093fa0	op_B1_OR_C	F
0x7100093fe0	op_B2_OR_D	F
0x7100094020	op_B3_OR_E	F
0x71000940a0	op_B4_OR_H	F
0x7100094060	op_B5_OR_L	F
0x7100094120	op_B6_OR_mHL	F
0x71000940e0	op_B7_OR_A	F
0x7100091cc0	op_B8_CP_B	F
0x7100091d20	op_B9_CP_C	F
0x7100091d80	op_BA_CP_D	F
0x7100091de0	op_BB_CP_E	F
0x7100091e40	op_BC_CP_H	F
0x7100091ea0	op_BD_CP_L	F
0x7100091bd0	op_BE_CP_mHL	F
0x7100091f00	op_BF_CP_A	F
0x7100094520	op_C0_RET_NZ	F
0x7100093cb0	op_C1_POP_BC	F
0x7100094700	op_C2_JP_NZ_nn	F
0x7100093e50	op_C3_JP_nn	F
0x71000941a0	op_C4_CALL_NZ_nn	F
0x7100090330	op_C5_PUSH_BC	F
0x71000947e0	op_C6_ADD_A_n	F
0x710008ea30	op_C7_RST_00	F
0x7100094640	op_C8_RET_Z	F
0x7100093dc0	op_C9_RET	F
0x71000946a0	op_CA_JP_Z_nn	F
0x7100092190	op_CB_CB_prefix	F
0x7100093b60	op_CC_CALL_Z_nn	F
0x7100093b00	op_CD_CALL_nn	F
0x7100094760	op_CE_ADC_A_n	F
0x710008e8f0	op_CF_RST_08	F
0x7100094580	op_D0_RET_NC	F
0x7100093cf0	op_D1_POP_DE	F
0x710008fc50	op_D2_JP_NC_nn	F
0x7100093bd0	op_D4_CALL_NC_nn	F
0x71000903f0	op_D5_PUSH_DE	F
0x7100094860	op_D6_SUB_n	F
0x710008ea70	op_D7_RST_10	F
0x71000945e0	op_D8_RET_C	F
0x7100093e40	op_D9_RETI	F
0x710008fcb0	op_DA_JP_C_nn	F
0x7100093c40	op_DC_CALL_C_nn	F
0x7100091830	op_DE_SBC_A_n	F
0x710008e990	op_DF_RST_18	F
0x7100093a20	op_E0_LDH_mn_A	F
0x7100093d80	op_E1_POP_HL	F
0x71000939e0	op_E2_LD_mFFC_A	F
0x71000903b0	op_E5_PUSH_HL	F
0x7100093f00	op_E6_AND_n	F
0x710008eac0	op_E7_RST_20	F
0x710008fde0	op_E8_ADD_SP_e	F
0x7100093e90	op_E9_JP_HL	F
0x7100090ce0	op_EA_LD_mnn_A	F
0x7100092130	op_EE_XOR_n	F
0x710008e940	op_EF_RST_28	F
0x7100093a70	op_F0_LDH_A_mn	F
0x7100093d30	op_F1_POP_AF	F
0x710008fec0	op_F2_LD_A_mFFC	F
0x7100093ec0	op_F3_DI	F
0x7100090370	op_F5_PUSH_AF	F
0x7100094210	op_F6_OR_n	F
0x710008eb10	op_F7_RST_30	F
0x710008fe50	op_F8_LD_HL_SPe	F
0x7100094170	op_F9_LD_SP_HL	F
0x710008f2b0	op_FA_LD_A_mnn	F
0x7100094270	op_FB_EI	F
0x7100091c40	op_FE_CP_n	F
0x710008e9e0	op_FF_RST_38	F
