0x712aba3e10	glShaderSource
0x712aba3e18	glStencilFuncSeparate
0x712aba3e20	glStencilMaskSeparate
0x712aba3e28	glStencilOpSeparate
0x712aba3e30	glUniform1f
0x712aba3e38	glUniform1fv
0x712aba3e40	glUniform1i
0x712aba3e48	glUniform1iv
0x712aba3e50	glUniform2f
0x712aba3e58	glUniform2fv
0x712aba3e60	glUniform2i
0x712aba3e68	glUniform2iv
0x712aba3e70	glUniform3f
0x712aba3e78	glUniform3fv
0x712aba3e80	glUniform3i
0x712aba3e88	glUniform3iv
0x712aba3e90	glUniform4f
0x712aba3e98	glUniform4fv
0x712aba3ea0	glUniform4i
0x712aba3ea8	glUniform4iv
0x712aba3eb0	glUniformMatrix2fv
0x712aba3eb8	glUniformMatrix3fv
0x712aba3ec0	glUniformMatrix4fv
0x712aba3ec8	glUseProgram
0x712aba3ed0	glValidateProgram
0x712aba3ed8	glVertexAttrib1d
0x712aba3ee0	glVertexAttrib1dv
0x712aba3ee8	glVertexAttrib1f
0x712aba3ef0	glVertexAttrib1fv
0x712aba3ef8	glVertexAttrib1s
0x712aba3f00	glVertexAttrib1sv
0x712aba3f08	glVertexAttrib2d
0x712aba3f10	glVertexAttrib2dv
0x712aba3f18	glVertexAttrib2f
0x712aba3f20	glVertexAttrib2fv
0x712aba3f28	glVertexAttrib2s
0x712aba3f30	glVertexAttrib2sv
0x712aba3f38	glVertexAttrib3d
0x712aba3f40	glVertexAttrib3dv
0x712aba3f48	glVertexAttrib3f
0x712aba3f50	glVertexAttrib3fv
0x712aba3f58	glVertexAttrib3s
0x712aba3f68	glVertexAttrib4Nbv
0x712aba3f70	glVertexAttrib4Niv
0x712aba3f78	glVertexAttrib4Nsv
0x712aba3f80	glVertexAttrib4Nub
0x712aba3f88	glVertexAttrib4Nubv
0x712aba3f90	glVertexAttrib4Nuiv
0x712aba3f98	glVertexAttrib4Nusv
0x712aba3fa0	glVertexAttrib4bv
0x712aba3fa8	glVertexAttrib4d
0x712aba3fb0	glVertexAttrib4dv
0x712aba3fb8	glVertexAttrib4f
0x712aba3fc0	glVertexAttrib4fv
0x712aba3fc8	glVertexAttrib4iv
