rom	status	frames	secs	detail
blargg/dmg_sound/rom_singles/12-wave write while on.gb	TIMEOUT	2400	1.2	F7 11 22 33 44 55 66 | 77 88 99 AA BB CC DD | EE FF | F7 11 22 33 44 55 66 | 77 88 99 AA BB CC DD | EE FF | F7 11 22 33 44 55 66 | 77 88 99 AA BB CC DD | EE FF | F7 11 22 33 44 55 66 | 77 88 99 AA BB CC DD | EE FF | F7 11 22 33 44 55 66 | 77 88 99 AA BB CC DD | EE FF | F7 11 22 33 44 55 66 | 77 88 9
blargg/halt_bug.gb	FAIL	120	0.2	halt bug | IE IF IF DE | 01 10 F1 0C04 | 01 00 E1 0C04 | 01 01 E1 0C04 | 11 00 E1 0C04 | 11 10 F1 0C04 | 11 11 F1 0C04 | E1 00 E1 0C04 | E1 E0 E1 0C04 | E1 E1 E1 0C04 | 2A6CE34B | Failed
blargg/instr_timing/instr_timing.gb	FAIL	50	0.1	instr_timing | 40:0-1 | Failed | instr_timing | 40:0-1 | Failed
blargg/interrupt_time/interrupt_time.gb	PASS	30	0.1	interrupt time | 00 00 00 | 00 08 0D | 01 00 00 | 01 08 0D | Passed
blargg/mem_timing-2/mem_timing.gb	FAIL	120	0.2	mem_timing | 01:    02:    03: | Run failed tests | individually for | more details.
blargg/mem_timing-2/rom_singles/01-read_timing.gb	FAIL	30	0.1	01-read_timing | F0:2-3 FA:2-4 CB 46: | 2-3 CB 4E:2-3 CB 56: | 2-3 CB 5E:2-3 CB 66: | 2-3 CB 6E:2-3 CB 76: | 2-3 CB 7E:2-3 | Failed
blargg/mem_timing-2/rom_singles/02-write_timing.gb	FAIL	30	0.1	02-write_timing | 36:2-3 E0:2-3 EA:2-4 | Failed
blargg/mem_timing-2/rom_singles/03-modify_timing.gb	TIMEOUT	2400	1.2	03-modify_timing | 35:0/0-2/3 | 34:0/0-2/3 | CB 06:0/0-3/4 | CB 0E:0/0-3/4 | CB 16:0/0-3/4 | CB 1E:0/0-3/4 | CB 26:0/0-3/4 | CB 2E:0/0-3/4 | CB 36:0/0-3/4 | CB 3E:0/0-3/4 | CB 86:0/0-3/4 | CB 8E:0/0-3/4 | CB 96:0/0-3/4 | CB 9E:0/0-3/4 | CB A6:0/0-3/4 | CB AE:0/0-3/4
blargg/mem_timing/individual/01-read_timing.gb	FAIL	60	0.1	01-read_timing | F0:2-3 FA:2-4 CB 46:2-3 CB 4E:2-3 CB 56:2-3 CB 5E:2-3 CB 66:2-3 CB 6E:2-3 CB 76:2-3 CB 7E:2-3 | Failed | 01-read_timing | F0:2-3 FA:2-4 CB 46: | 2-3 CB 4E:2-3 CB 56: | 2-3 CB 5E:2-3 CB 66: | 2-3 CB 6E:2-3 CB 76: | 2-3 CB 7E:2-3 | Failed
blargg/mem_timing/individual/02-write_timing.gb	FAIL	30	0.1	02-write_timing | 36:2-3 E0:2-3 EA:2-4 | Failed | 02-write_timing | 36:2-3 E0:2-3 EA:2-4 | Failed
blargg/mem_timing/individual/03-modify_timing.gb	FAIL	120	0.2	03-modify_timing | 35:0/0-2/3 | 34:0/0-2/3 | CB 06:0/0-3/4 | CB 0E:0/0-3/4 | CB 16:0/0-3/4 | CB 1E:0/0-3/4 | CB 26:0/0-3/4 | CB 2E:0/0-3/4 | CB 36:0/0-3/4 | CB 3E:0/0-3/4 | CB 86:0/0-3/4 | CB 8E:0/0-3/4 | CB 96:0/0-3/4 | CB 9E:0/0-3/4 | CB A6:0/0-3/4 | CB AE:0/0-3/4 | CB B6:0/0-3/4 | CB BE:0/0-3/4 |
blargg/mem_timing/mem_timing.gb	FAIL	120	0.2	mem_timing | 01:01  02:01  03:01 | Failed 3 tests. | mem_timing | 01:    02:    03: | Failed 3 tests.
blargg/oam_bug/oam_bug.gb	FAIL	270	0.5	oam_bug | 01:    02:    03:ok | 04:    05:    06:ok | 07:    08: | Run failed tests | individually for | more details.
blargg/oam_bug/rom_singles/1-lcd_sync.gb	FAIL	30	0.1	1-lcd_sync | Turning LCD on start | s too late in scanli | ne | Failed #2
blargg/oam_bug/rom_singles/2-causes.gb	FAIL	30	0.2	2-causes | LD DE,$FE00 : INC DE | Failed #2
blargg/oam_bug/rom_singles/3-non_causes.gb	PASS	60	0.2	3-non_causes | Passed
blargg/oam_bug/rom_singles/4-scanline_timing.gb	FAIL	30	0.2	4-scanline_timing | INC DE at first corr | uption | Failed #3
blargg/oam_bug/rom_singles/5-timing_bug.gb	FAIL	30	0.1	5-timing_bug | Should corrupt at be | ginning of first sca | nline | Failed #2
blargg/oam_bug/rom_singles/6-timing_no_bug.gb	PASS	60	0.2	Passed | -- -- -- -- -- -- -- | -- -- -- | 10 -- -- -- -- -- -- | -- -- -- -- -- -- -- | -- -- -- | 20 -- -- -- -- -- -- | -- -- -- -- -- -- -- | -- -- -- | 30 -- -- -- -- -- -- | -- -- -- -- -- -- -- | -- -- -- | 40 -- -- -- -- -- -- | -- -- -- -- -- -- -- | -- -- -- | 50 -- -- -- -- -- --
blargg/oam_bug/rom_singles/7-timing_effect.gb	FAIL	150	0.3	7-timing_effect | 00000000 | Failed
blargg/oam_bug/rom_singles/8-instr_effect.gb	FAIL	60	0.2	8-instr_effect | 00000000 | INC/DEC rp pattern i | s wrong | Failed #2
