169 ROMs, 12 workers
[ 38/169] FAIL    blargg/mem_timing/individual/01-read_timing.gb  (60 fr, 3.4s) 01-read_timing | F0:2-3 FA:2-4 CB 46:2-3 CB 4E:2-3 CB 56:2-3 CB 5E:2-3 CB 66:2-3 CB 6E:2-3
[ 39/169] FAIL    blargg/mem_timing/individual/03-modify_timing.gb  (120 fr, 6.8s) 03-modify_timing | 35:0/0-2/3 | 34:0/0-2/3 | CB 06:0/0-3/4 | CB 0E:0/0-3/4 | CB 16:0/0-3/4
[ 40/169] FAIL    blargg/mem_timing/mem_timing.gb  (120 fr, 6.9s) mem_timing | 01:01  02:01  03:01 | Failed 3 tests. | mem_timing | 01:    02:    03: | Fail
[ 41/169] FAIL    blargg/oam_bug/rom_singles/1-lcd_sync.gb  (30 fr, 2.2s) 1-lcd_sync | Turning LCD on start | s too late in scanli | ne | Failed #2
[ 42/169] FAIL    blargg/oam_bug/rom_singles/2-causes.gb  (30 fr, 2.6s) 2-causes | LD DE,$FE00 : INC DE | Failed #2
[ 43/169] FAIL    blargg/oam_bug/rom_singles/4-scanline_timing.gb  (30 fr, 2.8s) 4-scanline_timing | INC DE at first corr | uption | Failed #3
[ 44/169] PASS    blargg/oam_bug/rom_singles/3-non_causes.gb  (60 fr, 5.5s) 3-non_causes | Passed
[ 45/169] FAIL    blargg/oam_bug/rom_singles/5-timing_bug.gb  (30 fr, 2.6s) 5-timing_bug | Should corrupt at be | ginning of first sca | nline | Failed #2
[ 46/169] TIMEOUT blargg/dmg_sound/rom_singles/05-sweep details.gb  (2400 fr, 122.0s) 05-sweep details
[ 47/169] PASS    blargg/oam_bug/rom_singles/6-timing_no_bug.gb  (60 fr, 5.7s) Passed | -- -- -- -- -- -- -- | -- -- -- | 10 -- -- -- -- -- -- | -- -- -- -- -- -- -- | -
[ 48/169] TIMEOUT blargg/dmg_sound/rom_singles/04-sweep.gb  (2400 fr, 126.5s) 04-sweep
[ 49/169] FAIL    blargg/oam_bug/rom_singles/8-instr_effect.gb  (60 fr, 3.7s) 8-instr_effect | 00000000 | INC/DEC rp pattern i | s wrong | Failed #2
[ 50/169] PASS    mooneye/acceptance/bits/mem_oam.gb  (2 fr, 0.6s) B=03 C=05 D=08 E=0d H=15 L=22
[ 51/169] PASS    mooneye/acceptance/bits/reg_f.gb  (2 fr, 0.6s) B=03 C=05 D=08 E=0d H=15 L=22
[ 52/169] FAIL    mooneye/acceptance/bits/unused_hwio-GS.gb  (2 fr, 0.7s) B=42 C=42 D=42 E=42 H=42 L=42
[ 53/169] FAIL    mooneye/acceptance/boot_div-S.gb  (2 fr, 0.7s) B=42 C=42 D=42 E=42 H=42 L=42
[ 54/169] FAIL    mooneye/acceptance/boot_div-dmg0.gb  (2 fr, 0.6s) B=42 C=42 D=42 E=42 H=42 L=42
[ 55/169] FAIL    mooneye/acceptance/boot_div-dmgABCmgb.gb  (2 fr, 0.6s) B=42 C=42 D=42 E=42 H=42 L=42
[ 56/169] FAIL    mooneye/acceptance/boot_hwio-S.gb  (2 fr, 0.5s) B=42 C=42 D=42 E=42 H=42 L=42
[ 57/169] FAIL    mooneye/acceptance/boot_div2-S.gb  (2 fr, 0.7s) B=42 C=42 D=42 E=42 H=42 L=42
[ 58/169] FAIL    mooneye/acceptance/boot_hwio-dmg0.gb  (2 fr, 0.6s) B=42 C=42 D=42 E=42 H=42 L=42
[ 59/169] FAIL    mooneye/acceptance/boot_hwio-dmgABCmgb.gb  (2 fr, 0.6s) B=42 C=42 D=42 E=42 H=42 L=42
[ 60/169] FAIL    mooneye/acceptance/boot_regs-dmg0.gb  (2 fr, 0.5s) B=42 C=42 D=42 E=42 H=42 L=42
[ 61/169] FAIL    mooneye/acceptance/boot_regs-dmgABC.gb  (2 fr, 0.6s) B=42 C=42 D=42 E=42 H=42 L=42
[ 62/169] FAIL    mooneye/acceptance/boot_regs-mgb.gb  (2 fr, 0.6s) B=42 C=42 D=42 E=42 H=42 L=42
[ 63/169] FAIL    mooneye/acceptance/boot_regs-sgb.gb  (2 fr, 0.6s) B=42 C=42 D=42 E=42 H=42 L=42
[ 64/169] FAIL    mooneye/acceptance/boot_regs-sgb2.gb  (2 fr, 0.7s) B=42 C=42 D=42 E=42 H=42 L=42
[ 65/169] FAIL    blargg/oam_bug/rom_singles/7-timing_effect.gb  (150 fr, 19.6s) 7-timing_effect | 00000000 | Failed
[ 66/169] FAIL    blargg/oam_bug/oam_bug.gb  (270 fr, 34.2s) oam_bug | 01:    02:    03:ok | 04:    05:    06:ok | 07:    08: | Run failed tests | indi
[ 67/169] HANG    mooneye/acceptance/add_sp_e_timing.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x7100085414) PC=0150
[ 68/169] TIMEOUT blargg/dmg_sound/rom_singles/07-len sweep period sync.gb  (2400 fr, 121.8s) 07-len sweep period | sync
[ 69/169] FAIL    mooneye/acceptance/div_timing.gb  (2 fr, 0.6s) B=42 C=42 D=42 E=42 H=42 L=42
[ 70/169] FAIL    mooneye/acceptance/ei_sequence.gb  (2 fr, 0.7s) B=42 C=42 D=42 E=42 H=42 L=42
[ 71/169] PASS    mooneye/acceptance/ei_timing.gb  (2 fr, 0.6s) B=03 C=05 D=08 E=0d H=15 L=22
[ 72/169] HANG    mooneye/acceptance/call_cc_timing.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x710008a430) PC=0153
[ 73/169] HANG    mooneye/acceptance/call_cc_timing2.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x7100083690) PC=0155
[ 74/169] PASS    mooneye/acceptance/halt_ime1_timing.gb  (2 fr, 0.7s) B=03 C=05 D=08 E=0d H=15 L=22
[ 75/169] TIMEOUT blargg/dmg_sound/rom_singles/10-wave trigger while on.gb  (2400 fr, 102.9s) 00 11 22 33 44 55 66 | 77 88 99 AA BB CC DD | EE FF | 00 11 22 33 44 55 66 | 77 88 99 AA B
[ 76/169] FAIL    mooneye/acceptance/if_ie_registers.gb  (2 fr, 0.6s) B=42 C=42 D=42 E=42 H=42 L=42
[ 77/169] PASS    mooneye/acceptance/instr/daa.gb  (2 fr, 1.3s) B=03 C=05 D=08 E=0d H=15 L=22
[ 78/169] FAIL    mooneye/acceptance/interrupts/ie_push.gb  (2 fr, 0.6s) B=42 C=42 D=42 E=42 H=42 L=42
[ 79/169] FAIL    mooneye/acceptance/intr_timing.gb  (2 fr, 0.6s) B=42 C=42 D=42 E=42 H=42 L=42
[ 80/169] HANG    mooneye/acceptance/call_timing.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x71000948f0) PC=0151
[ 81/169] HANG    mooneye/acceptance/call_timing2.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x7100085188) PC=0151
[ 82/169] TIMEOUT blargg/dmg_sound/rom_singles/12-wave write while on.gb  (2400 fr, 103.7s) F7 11 22 33 44 55 66 | 77 88 99 AA BB CC DD | EE FF | F7 11 22 33 44 55 66 | 77 88 99 AA B
[ 83/169] PASS    mooneye/acceptance/oam_dma/basic.gb  (2 fr, 0.6s) B=03 C=05 D=08 E=0d H=15 L=22
[ 84/169] FAIL    mooneye/acceptance/oam_dma/reg_read.gb  (2 fr, 0.6s) B=42 C=42 D=42 E=42 H=42 L=42
[ 85/169] HANG    mooneye/acceptance/di_timing-GS.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x7100094910) PC=015a
[ 86/169] FAIL    mooneye/acceptance/oam_dma/sources-GS.gb  (2 fr, 2.3s) B=42 C=42 D=42 E=42 H=42 L=42
[ 87/169] FAIL    mooneye/acceptance/oam_dma_start.gb  (4 fr, 0.8s) B=42 C=42 D=42 E=42 H=42 L=42
[ 88/169] HANG    mooneye/acceptance/halt_ime0_ei.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x7100083834) PC=0160
[ 89/169] HANG    mooneye/acceptance/halt_ime0_nointr_timing.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x710008d758) PC=0152
[ 90/169] FAIL    mooneye/acceptance/pop_timing.gb  (2 fr, 0.6s) B=42 C=42 D=42 E=42 H=42 L=42
[ 91/169] HANG    mooneye/acceptance/halt_ime1_timing2-GS.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x7100082118) PC=0155
[ 92/169] HANG    mooneye/acceptance/jp_cc_timing.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x71000873f8) PC=0151
[ 93/169] HANG    mooneye/acceptance/jp_timing.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x710008517c) PC=0153
[ 94/169] HANG    mooneye/acceptance/ld_hl_sp_e_timing.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x71000948f0) PC=0151
[ 95/169] FAIL    mooneye/acceptance/ppu/intr_2_mode0_timing_sprites.gb  (5 fr, 1.2s) B=42 C=42 D=42 E=42 H=42 L=42
[ 96/169] PASS    blargg/cpu_instrs/cpu_instrs.gb  (1797 fr, 202.4s) cpu_instrs | 01:ok  02:ok  03:ok  04:ok  05:ok  06:ok  07:ok  08:ok  09:ok  10:ok  11:ok |
[ 97/169] FAIL    mooneye/acceptance/ppu/lcdon_timing-GS.gb  (5 fr, 1.1s) B=42 C=42 D=42 E=42 H=42 L=42
[ 98/169] HANG    mooneye/acceptance/oam_dma_restart.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x71000873b0) PC=0151
[ 99/169] FAIL    mooneye/acceptance/ppu/lcdon_write_timing-GS.gb  (21 fr, 2.3s) B=42 C=42 D=42 E=42 H=42 L=42
[100/169] HANG    mooneye/acceptance/oam_dma_timing.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x71000873b4) PC=0151
[101/169] HANG    mooneye/acceptance/ppu/hblank_ly_scx_timing-GS.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x710008540c) PC=0155
[102/169] HANG    mooneye/acceptance/ppu/intr_1_2_timing-GS.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x710008f430) PC=0158
[103/169] PASS    mooneye/acceptance/rapid_di_ei.gb  (2 fr, 0.7s) B=03 C=05 D=08 E=0d H=15 L=22
